model-1585665425,1585665442.305,0.55,0.2481,0.56,0.2472,0
model-1585665425,1585665442.627,0.46,0.2498,0.56,0.2475,0
model-1585665425,1585665442.948,0.55,0.2436,0.54,0.248,0
model-1585665425,1585665443.278,0.54,0.247,0.54,0.2487,0
model-1585665425,1585665443.608,0.52,0.2368,0.54,0.2497,0
model-1585665425,1585665443.934,0.58,0.2409,0.55,0.2521,0
model-1585665425,1585665444.265,0.52,0.2419,0.55,0.2552,0
model-1585665425,1585665444.593,0.42,0.252,0.57,0.2551,0
model-1585665425,1585665444.915,0.6,0.245,0.54,0.2552,0
model-1585665425,1585665445.239,0.48,0.2502,0.53,0.2538,0
model-1585665425,1585665445.561,0.57,0.2481,0.52,0.2528,0
model-1585665425,1585665445.888,0.58,0.2412,0.49,0.2531,0
model-1585665425,1585665446.217,0.58,0.2434,0.47,0.2533,0
model-1585665425,1585665446.547,0.5,0.2454,0.46,0.2534,0
model-1585665425,1585665446.873,0.5,0.2465,0.45,0.2528,0
model-1585665425,1585665447.2,0.54,0.2453,0.46,0.2523,0
model-1585665425,1585665447.527,0.55,0.2444,0.49,0.252,0
model-1585665425,1585665447.858,0.49,0.2489,0.48,0.2513,0
model-1585665425,1585665448.18,0.48,0.2476,0.45,0.2503,0
model-1585665425,1585665448.509,0.55,0.2427,0.46,0.2502,0
model-1585665425,1585665448.835,0.58,0.2401,0.48,0.2522,0
model-1585665425,1585665449.164,0.62,0.2389,0.52,0.2565,0
model-1585665425,1585665449.489,0.55,0.2597,0.52,0.2564,0
model-1585665425,1585665449.814,0.47,0.2606,0.52,0.2553,0
model-1585665425,1585665450.137,0.56,0.2648,0.51,0.2523,0
model-1585665425,1585665450.464,0.54,0.2447,0.49,0.2504,0
model-1585665425,1585665450.788,0.57,0.246,0.47,0.2491,0
model-1585665425,1585665451.12,0.59,0.249,0.48,0.2484,0
model-1585665425,1585665451.444,0.58,0.2493,0.48,0.2486,0
model-1585665425,1585665451.766,0.53,0.2465,0.48,0.249,0
model-1585665425,1585665452.095,0.53,0.2463,0.47,0.2495,0
model-1585665425,1585665452.417,0.52,0.248,0.49,0.2499,0
model-1585665425,1585665452.747,0.43,0.255,0.48,0.2495,0
model-1585665425,1585665453.069,0.41,0.2557,0.47,0.2487,0
model-1585665425,1585665453.406,0.5,0.2491,0.47,0.2481,0
model-1585665425,1585665453.735,0.54,0.2437,0.48,0.2475,0
model-1585665425,1585665454.058,0.48,0.2463,0.51,0.2469,0
model-1585665425,1585665454.386,0.52,0.2476,0.57,0.2464,0
